Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.010000	0.787802	0.703994	0.000000	0.000000	
2.000000	0.010000	0.099984	0.978896	0.000000	0.000000	
3.000000	0.010000	0.060142	0.987028	0.000000	0.000000	
4.000000	0.010000	0.044180	0.991034	0.000000	0.000000	
5.000000	0.010000	0.037025	0.992035	0.000000	0.000000	
6.000000	0.010000	0.029421	0.994062	0.000000	0.000000	
7.000000	0.010000	0.020468	0.995016	0.000000	0.000000	
8.000000	0.010000	0.018936	0.995588	0.000000	0.000000	
9.000000	0.010000	0.016164	0.996185	0.000000	0.000000	
10.000000	0.010000	0.013727	0.996995	0.000000	0.000000	
11.000000	0.010000	0.008506	0.997902	0.000000	0.000000	
12.000000	0.010000	0.012014	0.997138	0.000000	0.000000	
13.000000	0.010000	0.009148	0.998092	0.000000	0.000000	
14.000000	0.010000	0.009277	0.998140	0.000000	0.000000	
15.000000	0.010000	0.004391	0.998832	0.000000	0.000000	
16.000000	0.010000	0.002379	0.999499	0.000000	0.000000	
17.000000	0.010000	0.001622	0.999762	0.000000	0.000000	
18.000000	0.010000	0.001216	0.999785	0.000000	0.000000	
19.000000	0.010000	0.001241	0.999785	0.000000	0.000000	
20.000000	0.010000	0.000813	0.999881	0.000000	0.000000	
